date,horse_no,plc,horse,jockey,trainer,actual_wt,declar_horse_wt,draw,lbw,running_position,finish_time,win_odds
2015/10/10,12,14,慣勝福星(N300),蘇狄雄,蔡約翰,112,1135,8,14,7 9 9 14,1.23.14,99
2015/09/23,2,6,紅海灣(T159),巫斯義,文家良,130,1064,2,5,12 11 6,1.10.99,7.8
2015/09/23,3,7,聰明申報(S436),霍勵賢,霍利時,129,1154,11,6-1/4,10 10 7,1.11.19,33
2015/09/16,9,2,心好事成(S162),梁家俊,沈集成,115,1071,1,1-1/4,8 8 8 2,1.40.64,9.9
2015/09/16,4,3,人強馬勁(P435),莫雷拉,苗禮德,127,1103,5,1-1/2,7 6 6 3,1.40.70,4.6
2015/09/19,1,2,凱旋星光(T224),韋達,霍利時,133,1053,2,頸位,2 4 4 2,1.22.99,17
2015/09/19,9,3,駿擊快車(T168),何澤堯,姚本輝,115,1165,4,1-1/4,1 1 1 3,1.23.12,23
2015/10/10,11,6,輕越直前(K212),蘇狄雄,何良,119,1125,4,2-1/4,6 6 6,1.09.76,18
2015/10/10,4,7,紅褲精神(S329),郭能,胡森,132,1051,8,2-1/2,4 4 7,1.09.78,23
2015/09/09,10,1,金滙龍華(S242),郭能,沈集成,120,1102,10,-,2 2 1 1,1.42.58,5.6
2015/09/23,5,10,權杖神駒(T294),莫雷拉,蔡約翰,123,1187,7,7-3/4,4 5 5 10,1.42.11,3.3
2015/09/23,3,11,杰歡騰(T214),郭能,沈集成,127,1061,10,16-1/2,3 3 4 11,1.43.50,9
2015/09/16,7,1,澤心星(S399),莫雷拉,方嘉柏,121,977,1,-,3 3 1,1.10.45,3.4
2015/10/10,12,8,健康歡笑(S358),田泰安,蘇保羅,117,1040,10,5,3 4 8,1.10.13,11
2015/10/10,8,9,僥倖(T382),郭能,告達理,121,1114,5,5,5 7 9,1.10.16,8.7
2015/09/28,11,14,事勝意(T391),賴維銘,吳定強,119,1021,14,19,7 3 10 14,1.25.20,99
